title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
Avengers: Age of Ultron,2015,71938,avengers-age-of-ultron-2015,tt2395427,99861,67,PG-13,https://walter-r2.trakt.tv/images/movies/000/071/938/posters/thumb/de2265af49.jpg.webp
Forrest Gump,1994,9,forrest-gump-1994,tt0109830,13,66,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/009/posters/thumb/6d4da676cc.jpg.webp
The Shawshank Redemption,1994,234,the-shawshank-redemption-1994,tt0111161,278,66,R,https://walter-r2.trakt.tv/images/movies/000/000/234/posters/thumb/a97015926b.jpg.webp
The Truman Show,1998,23734,the-truman-show-1998,tt0120382,37165,66,PG,https://walter-r2.trakt.tv/images/movies/000/023/734/posters/thumb/9270646f37.jpg.webp
Inside Out,2015,98998,inside-out-2015,tt2096673,150540,65,PG,https://walter-r2.trakt.tv/images/movies/000/098/998/posters/thumb/0213554ff8.jpg.webp
WALL·E,2008,5853,wall-e-2008,tt0910970,10681,65,G,https://walter-r2.trakt.tv/images/movies/000/005/853/posters/thumb/e5a3035514.jpg.webp
The Wild Robot,2024,955488,the-wild-robot-2024,tt29623480,1184918,65,PG,https://walter-r2.trakt.tv/images/movies/000/955/488/posters/thumb/49160b921e.jpg.webp
The Dark Knight Rises,2012,34073,the-dark-knight-rises-2012,tt1345836,49026,64,PG-13,https://walter-r2.trakt.tv/images/movies/000/034/073/posters/thumb/0146361178.jpg.webp
Iron Man 2,2010,5355,iron-man-2-2010,tt1228705,10138,64,PG-13,https://walter-r2.trakt.tv/images/movies/000/005/355/posters/thumb/dabd6f1e13.jpg.webp
Tangled,2010,25084,tangled-2010,tt0398286,38757,64,PG,https://walter-r2.trakt.tv/images/movies/000/025/084/posters/thumb/c630b81726.jpg.webp
The Assessment,2025,1076480,the-assessment-2025,tt32768323,1317088,64,R,https://walter-r2.trakt.tv/images/movies/001/076/480/posters/thumb/624108069b.jpg.webp
Harry Potter and the Chamber of Secrets,2002,546,harry-potter-and-the-chamber-of-secrets-2002,tt0295297,672,63,PG,https://walter-r2.trakt.tv/images/movies/000/000/546/posters/thumb/b1bb9bbdc2.jpg.webp
Thor: Ragnarok,2017,181312,thor-ragnarok-2017,tt3501632,284053,62,PG-13,https://walter-r2.trakt.tv/images/movies/000/181/312/posters/thumb/0a2fc279a2.jpg.webp
Harry Potter and the Order of the Phoenix,2007,549,harry-potter-and-the-order-of-the-phoenix-2007,tt0373889,675,62,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/549/posters/thumb/919cf5c76e.jpg.webp
Harry Potter and the Half-Blood Prince,2009,610,harry-potter-and-the-half-blood-prince-2009,tt0417741,767,62,PG,https://walter-r2.trakt.tv/images/movies/000/000/610/posters/thumb/9d1a0c8829.jpg.webp
Jurassic Park,1993,276,jurassic-park-1993,tt0107290,329,62,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/276/posters/thumb/96f656c113.jpg.webp
The Hunger Games: Catching Fire,2013,72719,the-hunger-games-catching-fire-2013,tt1951264,101299,62,PG-13,https://walter-r2.trakt.tv/images/movies/000/072/719/posters/thumb/fc3ae9e451.jpg.webp
Ratatouille,2007,1416,ratatouille-2007,tt0382932,2062,62,G,https://walter-r2.trakt.tv/images/movies/000/001/416/posters/thumb/6cf5155137.jpg.webp
Inside Out 2,2024,822464,inside-out-2-2024,tt22022452,1022789,62,PG,https://walter-r2.trakt.tv/images/movies/000/822/464/posters/thumb/0b010863c6.jpg.webp
One of Them Days,2025,1041018,one-of-them-days-2025,tt32221196,1280672,62,R,https://walter-r2.trakt.tv/images/movies/001/041/018/posters/thumb/09cd2ff7b6.jpg.webp
Joker,2019,322988,joker-2019,tt7286456,475557,61,R,https://walter-r2.trakt.tv/images/movies/000/322/988/posters/thumb/b2fa5f3d6c.jpg.webp
Django Unchained,2012,50131,django-unchained-2012,tt1853728,68718,61,R,https://walter-r2.trakt.tv/images/movies/000/050/131/posters/thumb/6e250c3087.jpg.webp
Spider-Man: Into the Spider-Verse,2018,205404,spider-man-into-the-spider-verse-2018,tt4633694,324857,61,PG,https://walter-r2.trakt.tv/images/movies/000/205/404/posters/thumb/d0157b8bae.jpg.webp
Harry Potter and the Deathly Hallows: Part 1,2010,7228,harry-potter-and-the-deathly-hallows-part-1-2010,tt0926084,12444,61,PG-13,https://walter-r2.trakt.tv/images/movies/000/007/228/posters/thumb/92a397b497.jpg.webp
Oppenheimer,2023,698292,oppenheimer-2023,tt15398776,872585,61,R,https://walter-r2.trakt.tv/images/movies/000/698/292/posters/thumb/5a072067e7.jpg.webp
Alien: Romulus,2024,759944,alien-romulus-2024,tt18412256,945961,61,R,https://walter-r2.trakt.tv/images/movies/000/759/944/posters/thumb/f2e66df65b.jpg.webp
